HITId,WorkerId,batch,variable,value,English,country,answer
mainH191,mainS111,1,Input.id_1,filler_1_4,TRUE,TRUE,9
mainH217,mainS63,1,Input.id_1,hefty-three-weeks-sent_no_a-The diplom,TRUE,TRUE,5
mainH84,mainS73,1,Input.id_1,lovely-three-days-sent_no_a-The diplom,TRUE,TRUE,2
mainH205,mainS69,1,Input.id_1,whopping-three-weeks-sent_no_mod-The diplom,TRUE,TRUE,8
mainH162,mainS135,1,Input.id_1,filler_0_6,TRUE,TRUE,1
mainH279,mainS111,1,Input.id_1,paltry-three-months-sent-The family,TRUE,TRUE,10
mainH280,mainS15,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH304,mainS111,1,Input.id_1,filler_1_8,TRUE,TRUE,9
mainH105,mainS13,1,Input.id_1,filler_1_5,TRUE,TRUE,3
mainH295,mainS111,1,Input.id_1,filler_1_5,TRUE,TRUE,9
mainH184,mainS111,1,Input.id_1,filler_0_3,TRUE,TRUE,5
mainH265,mainS111,1,Input.id_1,meager-three-months-sent-The family,TRUE,TRUE,10
mainH174,mainS111,1,Input.id_1,filler_0_2,TRUE,TRUE,1
mainH102,mainS36,1,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH165,mainS111,1,Input.id_1,hefty-three-weeks-sent_default-The diplom,TRUE,TRUE,10
mainH330,mainS111,1,Input.id_1,filler_1_8,TRUE,TRUE,9
mainH196,mainS63,1,Input.id_1,filler_1_1,TRUE,TRUE,10
mainH253,mainS69,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH290,mainS63,1,Input.id_1,impressive-three-months-sent_reverse_mods-The diplom,TRUE,TRUE,6
mainH161,mainS111,1,Input.id_1,filler_0_3,TRUE,TRUE,5
mainH237,mainS63,1,Input.id_1,filler_1_1,TRUE,TRUE,10
mainH47,mainS67,1,Input.id_1,filler_0_2,TRUE,TRUE,4
mainH239,mainS111,1,Input.id_1,filler_0_7,TRUE,TRUE,1
mainH185,mainS109,1,Input.id_1,hideous-three-days-sent_reverse_mods-The family,TRUE,TRUE,4
mainH203,mainS111,1,Input.id_1,beautiful-three-months-sent_no_a-The family,TRUE,TRUE,6
mainH223,mainS63,1,Input.id_1,whopping-three-days-sent_no_a-The family,TRUE,TRUE,3
mainH86,mainS111,1,Input.id_1,filler_1_4,TRUE,TRUE,9
mainH15,mainS111,1,Input.id_1,filler_1_8,TRUE,TRUE,9
mainH292,mainS111,1,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH120,mainS12,1,Input.id_1,filler_0_3,FALSE,FALSE,2
mainH235,mainS101,1,Input.id_1,ugly-three-weeks-sent-The family,TRUE,TRUE,10
mainH80,mainS111,1,Input.id_1,meager-three-days-sent-The diplom,TRUE,TRUE,10
mainH26,mainS111,1,Input.id_1,filler_1_1,TRUE,TRUE,10
mainH172,mainS63,1,Input.id_1,filler_1_5,TRUE,TRUE,10
mainH248,mainS67,1,Input.id_1,filler_0_6,TRUE,TRUE,1
mainH70,mainS73,1,Input.id_1,filler_1_8,TRUE,TRUE,10
mainH85,mainS63,1,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH215,mainS73,1,Input.id_1,filler_1_8,TRUE,TRUE,10
mainH18,mainS111,1,Input.id_1,lovely-three-months-sent-The family,TRUE,TRUE,10
mainH298,mainS73,1,Input.id_1,lovely-three-months-sent_reverse_mods-The family,TRUE,TRUE,4
mainH121,mainS111,1,Input.id_1,filler_1_8,TRUE,TRUE,9
mainH296,mainS69,1,Input.id_1,paltry-three-months-sent_no_a-The touris,TRUE,TRUE,3
mainH91,mainS73,1,Input.id_1,filler_0_3,TRUE,TRUE,1
mainH169,mainS63,1,Input.id_1,filler_1_5,TRUE,TRUE,10
mainH246,mainS73,1,Input.id_1,filler_1_1,TRUE,TRUE,9
mainH303,mainS63,1,Input.id_1,filler_0_2,TRUE,TRUE,3
mainH5,mainS63,1,Input.id_1,whopping-three-weeks-sent_no_mod-The touris,TRUE,TRUE,4
mainH321,mainS111,1,Input.id_1,filler_0_3,TRUE,TRUE,5
mainH128,mainS133,1,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH11,mainS136,1,Input.id_1,filler_1_1,TRUE,TRUE,10
mainH318,mainS69,1,Input.id_1,filler_0_3,TRUE,TRUE,4
mainH260,mainS111,1,Input.id_1,filler_1_5,TRUE,TRUE,9
mainH148,mainS63,1,Input.id_1,filler_0_7,TRUE,TRUE,3
mainH262,mainS63,1,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH171,mainS73,1,Input.id_1,beautiful-three-months-sent_no_mod-The diplom,TRUE,TRUE,3
mainH100,mainS15,1,Input.id_1,hideous-three-months-sent_default-The diplom,TRUE,TRUE,3
mainH315,mainS73,1,Input.id_1,filler_1_4,FALSE,FALSE,5
mainH238,mainS69,1,Input.id_1,filler_1_8,TRUE,TRUE,9
mainH125,mainS63,1,Input.id_1,paltry-three-months-sent_reverse_mods-The diplom,TRUE,TRUE,2
mainH30,mainS63,1,Input.id_1,filler_0_6,TRUE,TRUE,2
mainH319,mainS15,1,Input.id_1,impressive-three-months-sent_no_a-The diplom,TRUE,TRUE,3
mainH35,mainS105,1,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH255,mainS67,1,Input.id_1,filler_1_1,TRUE,TRUE,10
mainH188,mainS63,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH37,mainS10,1,Input.id_1,filler_1_4,TRUE,TRUE,8
mainH249,mainS63,1,Input.id_1,staggering-three-weeks-sent_default-The touris,TRUE,TRUE,8
mainH51,mainS63,1,Input.id_1,filler_1_8,TRUE,TRUE,10
mainH44,mainS67,1,Input.id_1,filler_0_7,TRUE,TRUE,1
mainH118,mainS63,1,Input.id_1,filler_1_1,TRUE,TRUE,10
mainH87,mainS63,1,Input.id_1,filler_0_3,TRUE,TRUE,2
mainH202,mainS113,1,Input.id_1,beautiful-three-months-sent_no_plural-The family,TRUE,TRUE,4
mainH126,mainS19,1,Input.id_1,paltry-three-days-sent_reverse_mods-The family,TRUE,TRUE,5
mainH316,mainS111,1,Input.id_1,filler_0_2,TRUE,TRUE,6
mainH274,mainS63,1,Input.id_1,filler_1_5,TRUE,TRUE,10
mainH136,mainS119,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH283,mainS15,1,Input.id_1,filler_0_7,TRUE,TRUE,3
mainH308,mainS97,1,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH252,mainS60,1,Input.id_1,filler_1_4,TRUE,TRUE,8
mainH108,mainS63,1,Input.id_1,incredible-three-months-sent_no_plural-The touris,TRUE,TRUE,8
mainH284,mainS111,1,Input.id_1,impressive-three-months-sent_no_mod-The diplom,TRUE,TRUE,5
mainH299,mainS73,1,Input.id_1,filler_0_7,TRUE,TRUE,3
mainH201,mainS111,1,Input.id_1,filler_1_8,TRUE,TRUE,9
mainH324,mainS67,1,Input.id_1,filler_0_7,TRUE,TRUE,1
mainH204,mainS15,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH141,mainS73,1,Input.id_1,filler_0_6,TRUE,TRUE,1
mainH233,mainS63,1,Input.id_1,filler_1_8,TRUE,TRUE,10
mainH77,mainS73,1,Input.id_1,filler_1_8,TRUE,TRUE,10
mainH45,mainS111,1,Input.id_1,filler_1_4,TRUE,TRUE,9
mainH270,mainS111,1,Input.id_1,filler_0_3,TRUE,TRUE,5
mainH267,mainS111,1,Input.id_1,filler_0_6,TRUE,TRUE,1
mainH116,mainS39,1,Input.id_1,filler_1_1,TRUE,TRUE,9
mainH48,mainS69,1,Input.id_1,filler_0_6,TRUE,TRUE,4
mainH145,mainS111,1,Input.id_1,hideous-three-weeks-sent-The family,TRUE,TRUE,10
mainH106,mainS111,1,Input.id_1,filler_0_3,TRUE,TRUE,5
mainH73,mainS2,1,Input.id_1,ugly-three-months-sent_no_plural-The family,TRUE,TRUE,5
mainH227,mainS63,1,Input.id_1,impressive-three-weeks-sent_no_mod-The family,TRUE,TRUE,2
mainH103,mainS63,1,Input.id_1,whopping-three-days-sent_default-The touris,TRUE,TRUE,7
mainH8,mainS64,1,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH335,mainS63,1,Input.id_1,filler_1_1,TRUE,TRUE,10
mainH69,mainS67,1,Input.id_1,filler_1_1,TRUE,TRUE,10
mainH211,mainS73,1,Input.id_1,filler_1_1,TRUE,TRUE,9
mainH2,mainS69,1,Input.id_1,filler_1_8,TRUE,TRUE,9
mainH96,mainS77,1,Input.id_1,mere-three-months-sent_no_a-The touris,TRUE,TRUE,3
mainH278,mainS63,1,Input.id_1,staggering-three-months-sent_default-The touris,TRUE,TRUE,7
mainH266,mainS111,1,Input.id_1,filler_1_5,TRUE,TRUE,9
mainH90,mainS63,1,Input.id_1,paltry-three-months-sent-The diplom,TRUE,TRUE,10
mainH181,mainS111,1,Input.id_1,astonishing-three-weeks-sent_no_plural-The diplom,TRUE,TRUE,7
mainH127,mainS15,1,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH137,mainS63,1,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH43,mainS69,1,Input.id_1,filler_0_6,TRUE,TRUE,4
mainH193,mainS111,1,Input.id_1,filler_0_2,FALSE,TRUE,1
mainH32,mainS111,1,Input.id_1,astonishing-three-weeks-sent-The diplom,TRUE,TRUE,10
mainH210,mainS111,1,Input.id_1,filler_1_1,TRUE,TRUE,10
mainH64,mainS15,1,Input.id_1,staggering-three-days-sent_no_mod-The diplom,TRUE,TRUE,2
mainH36,mainS15,1,Input.id_1,filler_0_6,TRUE,TRUE,1
mainH275,mainS63,1,Input.id_1,filler_1_5,TRUE,TRUE,10
mainH224,mainS69,1,Input.id_1,filler_0_3,TRUE,TRUE,4
mainH83,mainS53,1,Input.id_1,filler_0_6,TRUE,TRUE,2
mainH338,mainS15,1,Input.id_1,hideous-three-weeks-sent_no_a-The diplom,TRUE,TRUE,2
mainH254,mainS72,1,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH251,mainS111,1,Input.id_1,filler_0_7,TRUE,TRUE,1
mainH168,mainS63,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH129,mainS73,1,Input.id_1,astonishing-three-days-sent_reverse_mods-The touris,TRUE,TRUE,2
mainH195,mainS69,1,Input.id_1,ugly-three-days-sent_no_plural-The diplom,TRUE,TRUE,7
mainH199,mainS69,1,Input.id_1,filler_0_2,TRUE,TRUE,3
mainH269,mainS111,1,Input.id_1,filler_0_2,TRUE,TRUE,1
mainH122,mainS111,1,Input.id_1,filler_0_7,FALSE,FALSE,1
mainH178,mainS67,1,Input.id_1,filler_1_1,TRUE,TRUE,10
mainH4,mainS69,1,Input.id_1,beautiful-three-weeks-sent_no_mod-The touris,TRUE,TRUE,7
mainH142,mainS63,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH197,mainS54,1,Input.id_1,filler_1_5,TRUE,TRUE,9
mainH180,mainS67,1,Input.id_1,filler_0_7,TRUE,TRUE,1
mainH208,mainS94,1,Input.id_1,filler_0_2,TRUE,TRUE,1
mainH49,mainS111,1,Input.id_1,filler_1_4,TRUE,TRUE,9
mainH326,mainS69,1,Input.id_1,filler_0_7,TRUE,TRUE,4
mainH242,mainS73,1,Input.id_1,filler_1_4,TRUE,TRUE,6
mainH198,mainS73,1,Input.id_1,filler_0_2,TRUE,TRUE,4
mainH312,mainS73,1,Input.id_1,filler_1_1,TRUE,TRUE,9
mainH60,mainS63,1,Input.id_1,hideous-three-months-sent_reverse_mods-The diplom,TRUE,TRUE,5
mainH52,mainS111,1,Input.id_1,filler_0_7,TRUE,TRUE,1
mainH177,mainS111,1,Input.id_1,filler_1_5,TRUE,TRUE,1
mainH34,mainS111,1,Input.id_1,filler_0_2,TRUE,TRUE,5
mainH258,mainS69,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH92,mainS111,1,Input.id_1,mere-three-months-sent-The family,TRUE,TRUE,10
mainH272,mainS111,1,Input.id_1,filler_1_4,TRUE,TRUE,9
mainH245,mainS63,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH209,mainS63,1,Input.id_1,filler_1_5,TRUE,TRUE,10
mainH159,mainS27,1,Input.id_1,filler_1_1,TRUE,TRUE,9
mainH264,mainS81,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH276,mainS63,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH219,mainS111,1,Input.id_1,filler_0_3,TRUE,TRUE,5
mainH146,mainS111,1,Input.id_1,filler_0_7,TRUE,TRUE,1
mainH140,mainS63,1,Input.id_1,filler_1_8,TRUE,TRUE,10
mainH144,mainS81,1,Input.id_1,filler_0_3,TRUE,TRUE,1
mainH334,mainS111,1,Input.id_1,filler_0_2,TRUE,TRUE,1
mainH9,mainS63,1,Input.id_1,filler_1_8,TRUE,TRUE,10
mainH93,mainS111,1,Input.id_1,paltry-three-days-sent_no_a-The touris,TRUE,TRUE,7
mainH327,mainS63,1,Input.id_1,hefty-three-days-sent-The diplom,TRUE,TRUE,10
mainH329,mainS73,1,Input.id_1,ugly-three-months-sent_no_mod-The family,TRUE,TRUE,3
mainH67,mainS63,1,Input.id_1,filler_1_5,TRUE,TRUE,10
mainH328,mainS85,1,Input.id_1,filler_1_5,TRUE,TRUE,9
mainH3,mainS78,2,Input.id_1,filler_0_2,TRUE,TRUE,3
mainH6,mainS20,2,Input.id_1,filler_1_8,TRUE,TRUE,7
mainH10,mainS90,2,Input.id_1,filler_0_3,TRUE,TRUE,2
mainH13,mainS21,2,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH20,mainS59,2,Input.id_1,filler_1_1,TRUE,TRUE,9
mainH22,mainS91,2,Input.id_1,filler_0_3,TRUE,TRUE,2
mainH24,mainS88,2,Input.id_1,filler_0_6,TRUE,TRUE,1
mainH25,mainS66,2,Input.id_1,filler_1_4,TRUE,TRUE,8
mainH27,mainS118,2,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH29,mainS74,2,Input.id_1,astonishing-three-weeks-sent_no_plural-The diplom,TRUE,TRUE,4
mainH33,mainS115,2,Input.id_1,filler_1_5,TRUE,TRUE,5
mainH38,mainS58,2,Input.id_1,filler_1_5,TRUE,TRUE,6
mainH46,mainS34,2,Input.id_1,filler_1_5,TRUE,TRUE,10
mainH53,mainS49,2,Input.id_1,filler_1_1,TRUE,TRUE,6
mainH54,mainS22,2,Input.id_1,filler_0_7,TRUE,TRUE,7
mainH55,mainS138,2,Input.id_1,hideous-three-months-sent_default-The family,TRUE,TRUE,10
mainH56,mainS106,2,Input.id_1,filler_1_5,TRUE,TRUE,2
mainH57,mainS83,2,Input.id_1,astonishing-three-days-sent_reverse_mods-The touris,TRUE,TRUE,2
mainH59,mainS43,2,Input.id_1,filler_0_7,TRUE,TRUE,3
mainH65,mainS4,2,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH68,mainS61,2,Input.id_1,filler_1_4,TRUE,TRUE,7
mainH74,mainS100,2,Input.id_1,filler_0_7,TRUE,TRUE,1
mainH79,mainS62,2,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH81,mainS7,2,Input.id_1,whopping-three-days-sent_no_a-The family,FALSE,FALSE,1
mainH88,mainS114,2,Input.id_1,filler_0_6,FALSE,FALSE,2
mainH94,mainS14,2,Input.id_1,filler_0_6,TRUE,TRUE,2
mainH98,mainS141,2,Input.id_1,filler_1_8,TRUE,TRUE,8
mainH99,mainS107,2,Input.id_1,filler_0_3,TRUE,TRUE,2
mainH104,mainS82,2,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH109,mainS50,2,Input.id_1,hideous-three-weeks-sent_no_a-The diplom,TRUE,TRUE,2
mainH110,mainS117,2,Input.id_1,filler_1_4,TRUE,TRUE,9
mainH111,mainS5,2,Input.id_1,filler_1_5,TRUE,TRUE,2
mainH112,mainS95,2,Input.id_1,filler_0_3,TRUE,TRUE,3
mainH115,mainS93,2,Input.id_1,filler_1_4,TRUE,TRUE,3
mainH124,mainS16,2,Input.id_1,filler_1_8,TRUE,TRUE,10
mainH130,mainS3,2,Input.id_1,filler_1_1,TRUE,TRUE,7
mainH131,mainS38,2,Input.id_1,ugly-three-weeks-sent_reverse_mods-The touris,TRUE,TRUE,1
mainH132,mainS132,2,Input.id_1,filler_1_8,TRUE,TRUE,2
mainH134,mainS80,2,Input.id_1,meager-three-days-sent_no_plural-The diplom,TRUE,TRUE,2
mainH147,mainS46,2,Input.id_1,filler_1_8,TRUE,TRUE,10
mainH149,mainS143,2,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH151,mainS1,2,Input.id_1,lovely-three-days-sent_reverse_mods-The touris,TRUE,TRUE,2
mainH155,mainS86,2,Input.id_1,ugly-three-days-sent_no_plural-The family,TRUE,TRUE,3
mainH156,mainS123,2,Input.id_1,filler_1_5,TRUE,TRUE,2
mainH158,mainS11,2,Input.id_1,filler_0_7,TRUE,TRUE,3
mainH160,mainS129,2,Input.id_1,paltry-three-months-sent-The diplom,TRUE,TRUE,10
mainH164,mainS56,2,Input.id_1,beautiful-three-months-sent_no_a-The diplom,TRUE,TRUE,7
mainH166,mainS51,2,Input.id_1,disappointing-three-weeks-sent_no_plural-The family,TRUE,TRUE,6
mainH175,mainS65,2,Input.id_1,filler_0_2,TRUE,TRUE,3
mainH176,mainS110,2,Input.id_1,filler_1_5,TRUE,TRUE,10
mainH182,mainS57,2,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH186,mainS18,2,Input.id_1,lovely-three-months-sent-The family,TRUE,TRUE,8
mainH189,mainS89,2,Input.id_1,filler_0_2,TRUE,TRUE,1
mainH190,mainS68,2,Input.id_1,hideous-three-months-sent_default-The diplom,TRUE,TRUE,10
mainH206,mainS76,2,Input.id_1,staggering-three-days-sent_no_mod-The diplom,TRUE,TRUE,5
mainH212,mainS30,2,Input.id_1,filler_1_1,TRUE,TRUE,5
mainH220,mainS103,2,Input.id_1,filler_0_7,TRUE,TRUE,1
mainH225,mainS55,2,Input.id_1,ugly-three-months-sent_reverse_mods-The diplom,TRUE,TRUE,8
mainH228,mainS96,2,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH230,mainS128,2,Input.id_1,filler_1_4,TRUE,FALSE,10
mainH232,mainS79,2,Input.id_1,filler_1_1,TRUE,TRUE,8
mainH234,mainS137,2,Input.id_1,impressive-three-weeks-sent_no_mod-The family,TRUE,TRUE,2
mainH236,mainS108,2,Input.id_1,filler_0_6,TRUE,TRUE,2
mainH243,mainS44,2,Input.id_1,hefty-three-days-sent-The diplom,TRUE,TRUE,7
mainH247,mainS35,2,Input.id_1,filler_1_4,TRUE,TRUE,8
mainH257,mainS24,2,Input.id_1,ugly-three-weeks-sent-The family,TRUE,TRUE,4
mainH259,mainS127,2,Input.id_1,filler_0_3,TRUE,TRUE,3
mainH263,mainS52,2,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH268,mainS6,2,Input.id_1,filler_0_6,TRUE,TRUE,6
mainH271,mainS41,2,Input.id_1,filler_0_6,TRUE,TRUE,1
mainH281,mainS125,2,Input.id_1,lovely-three-weeks-sent-The touris,TRUE,TRUE,3
mainH282,mainS17,2,Input.id_1,filler_0_7,TRUE,TRUE,1
mainH285,mainS116,2,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH287,mainS42,2,Input.id_1,paltry-three-months-sent-The family,TRUE,TRUE,10
mainH288,mainS104,2,Input.id_1,paltry-three-months-sent_no_plural-The touris,TRUE,TRUE,2
mainH291,mainS120,2,Input.id_1,filler_1_5,TRUE,TRUE,2
mainH293,mainS47,2,Input.id_1,filler_1_4,TRUE,TRUE,3
mainH294,mainS112,2,Input.id_1,filler_0_7,TRUE,TRUE,10
mainH300,mainS48,2,Input.id_1,filler_1_1,TRUE,TRUE,8
mainH309,mainS84,2,Input.id_1,whopping-three-weeks-sent_no_mod-The touris,TRUE,TRUE,1
mainH310,mainS70,2,Input.id_1,filler_1_5,TRUE,TRUE,8
mainH311,mainS45,2,Input.id_1,incredible-three-months-sent_no_plural-The touris,TRUE,TRUE,3
mainH314,mainS139,2,Input.id_1,filler_1_5,TRUE,FALSE,10
mainH323,mainS29,2,Input.id_1,filler_0_3,TRUE,TRUE,3
