,experiment,template,adj,num,noun,adjclass,numclass,nounclass,sent,rating-sent,goodness-sent
27,temporal,0,incredible,twenty,months,adj-ambig,num-num,noun-temporal,The family spent an incredible twenty months in London., good,0.9982662645586619
28,temporal,0,incredible,twenty,years,adj-ambig,num-num,noun-temporal,The family spent an incredible twenty years in London., good,0.9983423209701519
29,temporal,0,incredible,twenty,hours,adj-ambig,num-num,noun-temporal,The family spent an incredible twenty hours in London., good,0.9975560134101972
30,temporal,0,impressive,three,days,adj-ambig,num-num,noun-temporal,The family spent an impressive three days in London., good,0.9988108139428076
31,temporal,0,impressive,three,weeks,adj-ambig,num-num,noun-temporal,The family spent an impressive three weeks in London., good,0.9986737831039413
32,temporal,0,impressive,three,months,adj-ambig,num-num,noun-temporal,The family spent an impressive three months in London., good,0.9988376981966
33,temporal,0,impressive,three,years,adj-ambig,num-num,noun-temporal,The family spent an impressive three years in London., good,0.9986762878807979
34,temporal,0,impressive,three,hours,adj-ambig,num-num,noun-temporal,The family spent an impressive three hours in London., good,0.9984581937064481
35,temporal,0,impressive,five,days,adj-ambig,num-num,noun-temporal,The family spent an impressive five days in London., good,0.9993864787811566
36,temporal,0,impressive,five,weeks,adj-ambig,num-num,noun-temporal,The family spent an impressive five weeks in London., good,0.9992281677458696
37,temporal,0,impressive,five,months,adj-ambig,num-num,noun-temporal,The family spent an impressive five months in London., good,0.9994043595942199
38,temporal,0,impressive,five,years,adj-ambig,num-num,noun-temporal,The family spent an impressive five years in London., good,0.9991680259824616
39,temporal,0,impressive,five,hours,adj-ambig,num-num,noun-temporal,The family spent an impressive five hours in London., good,0.9991461503772244
40,temporal,0,impressive,twenty,days,adj-ambig,num-num,noun-temporal,The family spent an impressive twenty days in London., good,0.9989654301367996
41,temporal,0,impressive,twenty,weeks,adj-ambig,num-num,noun-temporal,The family spent an impressive twenty weeks in London., good,0.9986957776382009
42,temporal,0,impressive,twenty,months,adj-ambig,num-num,noun-temporal,The family spent an impressive twenty months in London., good,0.9988372210519454
43,temporal,0,impressive,twenty,years,adj-ambig,num-num,noun-temporal,The family spent an impressive twenty years in London., good,0.9988394861176799
44,temporal,0,impressive,twenty,hours,adj-ambig,num-num,noun-temporal,The family spent an impressive twenty hours in London., good,0.9987282628439517
45,temporal,0,disappointing,three,days,adj-ambig,num-num,noun-temporal,The family spent a disappointing three days in London., good,0.9990349867250837
46,temporal,0,disappointing,three,weeks,adj-ambig,num-num,noun-temporal,The family spent a disappointing three weeks in London., good,0.9987153298960497
47,temporal,0,disappointing,three,months,adj-ambig,num-num,noun-temporal,The family spent a disappointing three months in London., good,0.9989070181402587
48,temporal,0,disappointing,three,years,adj-ambig,num-num,noun-temporal,The family spent a disappointing three years in London., good,0.9989176255902045
49,temporal,0,disappointing,three,hours,adj-ambig,num-num,noun-temporal,The family spent a disappointing three hours in London., good,0.9983047695291635
50,temporal,0,disappointing,five,days,adj-ambig,num-num,noun-temporal,The family spent a disappointing five days in London., good,0.9991493681425746
51,temporal,0,disappointing,five,weeks,adj-ambig,num-num,noun-temporal,The family spent a disappointing five weeks in London., good,0.9988438364726515
52,temporal,0,disappointing,five,months,adj-ambig,num-num,noun-temporal,The family spent a disappointing five months in London., good,0.999035584078252
53,temporal,0,disappointing,five,years,adj-ambig,num-num,noun-temporal,The family spent a disappointing five years in London., good,0.9990793946573535
54,temporal,0,disappointing,five,hours,adj-ambig,num-num,noun-temporal,The family spent a disappointing five hours in London., good,0.9989716291361134
55,temporal,0,disappointing,twenty,days,adj-ambig,num-num,noun-temporal,The family spent a disappointing twenty days in London., good,0.9985475403420315
56,temporal,0,disappointing,twenty,weeks,adj-ambig,num-num,noun-temporal,The family spent a disappointing twenty weeks in London., good,0.9974261324917503
57,temporal,0,disappointing,twenty,months,adj-ambig,num-num,noun-temporal,The family spent a disappointing twenty months in London., good,0.9986864194032623
58,temporal,0,disappointing,twenty,years,adj-ambig,num-num,noun-temporal,The family spent a disappointing twenty years in London., good,0.9980156873566236
59,temporal,0,disappointing,twenty,hours,adj-ambig,num-num,noun-temporal,The family spent a disappointing twenty hours in London., good,0.9977767303332785
60,temporal,0,surprising,three,days,adj-ambig,num-num,noun-temporal,The family spent a surprising three days in London., good,0.9989443896490108
61,temporal,0,surprising,three,weeks,adj-ambig,num-num,noun-temporal,The family spent a surprising three weeks in London., good,0.998469459074262
62,temporal,0,surprising,three,months,adj-ambig,num-num,noun-temporal,The family spent a surprising three months in London., good,0.9986370675372336
63,temporal,0,surprising,three,years,adj-ambig,num-num,noun-temporal,The family spent a surprising three years in London., good,0.9984005554769412
64,temporal,0,surprising,three,hours,adj-ambig,num-num,noun-temporal,The family spent a surprising three hours in London., good,0.998772490207243
65,temporal,0,surprising,five,days,adj-ambig,num-num,noun-temporal,The family spent a surprising five days in London., good,0.9994610434892657
66,temporal,0,surprising,five,weeks,adj-ambig,num-num,noun-temporal,The family spent a surprising five weeks in London., good,0.9992344856557251
67,temporal,0,surprising,five,months,adj-ambig,num-num,noun-temporal,The family spent a surprising five months in London., good,0.9992692347390851
68,temporal,0,surprising,five,years,adj-ambig,num-num,noun-temporal,The family spent a surprising five years in London., good,0.9990078712854593
69,temporal,0,surprising,five,hours,adj-ambig,num-num,noun-temporal,The family spent a surprising five hours in London., good,0.9994080538193105
70,temporal,0,surprising,twenty,days,adj-ambig,num-num,noun-temporal,The family spent a surprising twenty days in London., good,0.9990815412416837
71,temporal,0,surprising,twenty,weeks,adj-ambig,num-num,noun-temporal,The family spent a surprising twenty weeks in London., good,0.9984242179503464
72,temporal,0,surprising,twenty,months,adj-ambig,num-num,noun-temporal,The family spent a surprising twenty months in London., good,0.9987435800572843
73,temporal,0,surprising,twenty,years,adj-ambig,num-num,noun-temporal,The family spent a surprising twenty years in London., good,0.9987665286519182
74,temporal,0,surprising,twenty,hours,adj-ambig,num-num,noun-temporal,The family spent a surprising twenty hours in London., good,0.9989707935965922
75,temporal,0,devastating,three,days,adj-ambig,num-num,noun-temporal,The family spent a devastating three days in London., good,0.9914524369249534
76,temporal,0,devastating,three,weeks,adj-ambig,num-num,noun-temporal,The family spent a devastating three weeks in London., good,0.9860059311820277
77,temporal,0,devastating,three,months,adj-ambig,num-num,noun-temporal,The family spent a devastating three months in London., good,0.9915818963466657
78,temporal,0,devastating,three,years,adj-ambig,num-num,noun-temporal,The family spent a devastating three years in London., good,0.9917435433196169
79,temporal,0,devastating,three,hours,adj-ambig,num-num,noun-temporal,The family spent a devastating three hours in London., good,0.98681333800156
80,temporal,0,devastating,five,days,adj-ambig,num-num,noun-temporal,The family spent a devastating five days in London., good,0.992116546705488
81,temporal,0,devastating,five,weeks,adj-ambig,num-num,noun-temporal,The family spent a devastating five weeks in London., good,0.9870806624644088
82,temporal,0,devastating,five,months,adj-ambig,num-num,noun-temporal,The family spent a devastating five months in London., good,0.9923601957975163
83,temporal,0,devastating,five,years,adj-ambig,num-num,noun-temporal,The family spent a devastating five years in London., good,0.9932250561182067
84,temporal,0,devastating,five,hours,adj-ambig,num-num,noun-temporal,The family spent a devastating five hours in London., good,0.9866441189586841
85,temporal,0,devastating,twenty,days,adj-ambig,num-num,noun-temporal,The family spent a devastating twenty days in London., good,0.9882127988248379
86,temporal,0,devastating,twenty,weeks,adj-ambig,num-num,noun-temporal,The family spent a devastating twenty weeks in London., good,0.9870893655929774
87,temporal,0,devastating,twenty,months,adj-ambig,num-num,noun-temporal,The family spent a devastating twenty months in London., good,0.9942138963502164
88,temporal,0,devastating,twenty,years,adj-ambig,num-num,noun-temporal,The family spent a devastating twenty years in London., good,0.9894978210635508
89,temporal,0,devastating,twenty,hours,adj-ambig,num-num,noun-temporal,The family spent a devastating twenty hours in London., good,0.9889414077971547
90,temporal,0,pathetic,three,days,adj-ambig,num-num,noun-temporal,The family spent a pathetic three days in London., good,0.9177710686662478
91,temporal,0,pathetic,three,weeks,adj-ambig,num-num,noun-temporal,The family spent a pathetic three weeks in London., good,0.9059460646523609
92,temporal,0,pathetic,three,months,adj-ambig,num-num,noun-temporal,The family spent a pathetic three months in London., good,0.9244092039101386
93,temporal,0,pathetic,three,years,adj-ambig,num-num,noun-temporal,The family spent a pathetic three years in London., good,0.9251534345835745
94,temporal,0,pathetic,three,hours,adj-ambig,num-num,noun-temporal,The family spent a pathetic three hours in London., good,0.8431180796753619
95,temporal,0,pathetic,five,days,adj-ambig,num-num,noun-temporal,The family spent a pathetic five days in London., good,0.9212882929929794
96,temporal,0,pathetic,five,weeks,adj-ambig,num-num,noun-temporal,The family spent a pathetic five weeks in London., good,0.9321838777809643
97,temporal,0,pathetic,five,months,adj-ambig,num-num,noun-temporal,The family spent a pathetic five months in London., good,0.937914336349297
98,temporal,0,pathetic,five,years,adj-ambig,num-num,noun-temporal,The family spent a pathetic five years in London., good,0.9254517521370899
99,temporal,0,pathetic,five,hours,adj-ambig,num-num,noun-temporal,The family spent a pathetic five hours in London., good,0.852265006519542
100,temporal,0,pathetic,twenty,days,adj-ambig,num-num,noun-temporal,The family spent a pathetic twenty days in London., good,0.9394572707535461
101,temporal,0,pathetic,twenty,weeks,adj-ambig,num-num,noun-temporal,The family spent a pathetic twenty weeks in London., good,0.9342923324025524
102,temporal,0,pathetic,twenty,months,adj-ambig,num-num,noun-temporal,The family spent a pathetic twenty months in London., good,0.9443209095954899
103,temporal,0,pathetic,twenty,years,adj-ambig,num-num,noun-temporal,The family spent a pathetic twenty years in London., good,0.9266629145690188
104,temporal,0,pathetic,twenty,hours,adj-ambig,num-num,noun-temporal,The family spent a pathetic twenty hours in London., good,0.9069749479783537
105,temporal,0,remarkable,three,days,adj-ambig,num-num,noun-temporal,The family spent a remarkable three days in London., good,0.9991158123844384
106,temporal,0,remarkable,three,weeks,adj-ambig,num-num,noun-temporal,The family spent a remarkable three weeks in London., good,0.9989287730736474
107,temporal,0,remarkable,three,months,adj-ambig,num-num,noun-temporal,The family spent a remarkable three months in London., good,0.9990251526726898
108,temporal,0,remarkable,three,years,adj-ambig,num-num,noun-temporal,The family spent a remarkable three years in London., good,0.999035584078252
109,temporal,0,remarkable,three,hours,adj-ambig,num-num,noun-temporal,The family spent a remarkable three hours in London., good,0.9986758107133815
110,temporal,0,remarkable,five,days,adj-ambig,num-num,noun-temporal,The family spent a remarkable five days in London., good,0.9994954374045404
111,temporal,0,remarkable,five,weeks,adj-ambig,num-num,noun-temporal,The family spent a remarkable five weeks in London., good,0.9994106758197495
112,temporal,0,remarkable,five,months,adj-ambig,num-num,noun-temporal,The family spent a remarkable five months in London., good,0.9994750492049085
113,temporal,0,remarkable,five,years,adj-ambig,num-num,noun-temporal,The family spent a remarkable five years in London., good,0.9993722923909025
114,temporal,0,remarkable,five,hours,adj-ambig,num-num,noun-temporal,The family spent a remarkable five hours in London., good,0.9993244298503413
115,temporal,0,remarkable,twenty,days,adj-ambig,num-num,noun-temporal,The family spent a remarkable twenty days in London., good,0.9989901663255493
116,temporal,0,remarkable,twenty,weeks,adj-ambig,num-num,noun-temporal,The family spent a remarkable twenty weeks in London., good,0.9982765166061888
117,temporal,0,remarkable,twenty,months,adj-ambig,num-num,noun-temporal,The family spent a remarkable twenty months in London., good,0.9986107812589851
118,temporal,0,remarkable,twenty,years,adj-ambig,num-num,noun-temporal,The family spent a remarkable twenty years in London., good,0.9989663826507914
119,temporal,0,remarkable,twenty,hours,adj-ambig,num-num,noun-temporal,The family spent a remarkable twenty hours in London., good,0.9986595374236329
120,temporal,0,mediocre,three,days,adj-ambig,num-num,noun-temporal,The family spent a mediocre three days in London., good,0.9942731431226912
121,temporal,0,mediocre,three,weeks,adj-ambig,num-num,noun-temporal,The family spent a mediocre three weeks in London., good,0.9932421009996478
122,temporal,0,mediocre,three,months,adj-ambig,num-num,noun-temporal,The family spent a mediocre three months in London., good,0.9939109250169711
123,temporal,0,mediocre,three,years,adj-ambig,num-num,noun-temporal,The family spent a mediocre three years in London., good,0.9943672010381631
124,temporal,0,mediocre,three,hours,adj-ambig,num-num,noun-temporal,The family spent a mediocre three hours in London., good,0.9915630614274298
125,temporal,0,mediocre,five,days,adj-ambig,num-num,noun-temporal,The family spent a mediocre five days in London., good,0.995625043626122
126,temporal,0,mediocre,five,weeks,adj-ambig,num-num,noun-temporal,The family spent a mediocre five weeks in London., good,0.9935230186584872
127,temporal,0,mediocre,five,months,adj-ambig,num-num,noun-temporal,The family spent a mediocre five months in London., good,0.9944488580467528
128,temporal,0,mediocre,five,years,adj-ambig,num-num,noun-temporal,The family spent a mediocre five years in London., good,0.995290839330935
129,temporal,0,mediocre,five,hours,adj-ambig,num-num,noun-temporal,The family spent a mediocre five hours in London., good,0.9932146233370103
130,temporal,0,mediocre,twenty,days,adj-ambig,num-num,noun-temporal,The family spent a mediocre twenty days in London., good,0.9943048531862755
131,temporal,0,mediocre,twenty,weeks,adj-ambig,num-num,noun-temporal,The family spent a mediocre twenty weeks in London., good,0.9918155475063618
132,temporal,0,mediocre,twenty,months,adj-ambig,num-num,noun-temporal,The family spent a mediocre twenty months in London., good,0.9938903035670266
133,temporal,0,mediocre,twenty,years,adj-ambig,num-num,noun-temporal,The family spent a mediocre twenty years in London., good,0.9940074854699947
134,temporal,0,mediocre,twenty,hours,adj-ambig,num-num,noun-temporal,The family spent a mediocre twenty hours in London., good,0.9910801470480481
135,temporal,0,unsatisfying,three,days,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying three days in London., good,0.9981547435828736
136,temporal,0,unsatisfying,three,weeks,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying three weeks in London., good,0.9979226453939499
137,temporal,0,unsatisfying,three,months,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying three months in London., good,0.9982626290791994
138,temporal,0,unsatisfying,three,years,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying three years in London., good,0.9983386260122254
139,temporal,0,unsatisfying,three,hours,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying three hours in London., good,0.9969706904456637
140,temporal,0,unsatisfying,five,days,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying five days in London., good,0.9983385059120959
141,temporal,0,unsatisfying,five,weeks,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying five weeks in London., good,0.9980529974732624
142,temporal,0,unsatisfying,five,months,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying five months in London., good,0.998577282823027
143,temporal,0,unsatisfying,five,years,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying five years in London., good,0.9984494908832225
144,temporal,0,unsatisfying,five,hours,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying five hours in London., good,0.9975318135933832
145,temporal,0,unsatisfying,twenty,days,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying twenty days in London., good,0.9977618877165916
146,temporal,0,unsatisfying,twenty,weeks,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying twenty weeks in London., good,0.9970215332593727
147,temporal,0,unsatisfying,twenty,months,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying twenty months in London., good,0.9980259979099487
148,temporal,0,unsatisfying,twenty,years,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying twenty years in London., good,0.9981714920612761
149,temporal,0,unsatisfying,twenty,hours,adj-ambig,num-num,noun-temporal,The family spent an unsatisfying twenty hours in London., good,0.997062899543883
150,temporal,0,lovely,three,days,adj-pos,num-num,noun-temporal,The family spent a lovely three days in London., good,0.9996047485824302
151,temporal,0,lovely,three,weeks,adj-pos,num-num,noun-temporal,The family spent a lovely three weeks in London., good,0.9994932899209354
152,temporal,0,lovely,three,months,adj-pos,num-num,noun-temporal,The family spent a lovely three months in London., good,0.9994634273466219
153,temporal,0,lovely,three,years,adj-pos,num-num,noun-temporal,The family spent a lovely three years in London., good,0.9994150276630712
154,temporal,0,lovely,three,hours,adj-pos,num-num,noun-temporal,The family spent a lovely three hours in London., good,0.9993219271953392
155,temporal,0,lovely,five,days,adj-pos,num-num,noun-temporal,The family spent a lovely five days in London., good,0.9996592275461269
156,temporal,0,lovely,five,weeks,adj-pos,num-num,noun-temporal,The family spent a lovely five weeks in London., good,0.9995825162705946
157,temporal,0,lovely,five,months,adj-pos,num-num,noun-temporal,The family spent a lovely five months in London., good,0.9995818022690581
158,temporal,0,lovely,five,years,adj-pos,num-num,noun-temporal,The family spent a lovely five years in London., good,0.9994693273565619
159,temporal,0,lovely,five,hours,adj-pos,num-num,noun-temporal,The family spent a lovely five hours in London., good,0.9994445923959374
160,temporal,0,lovely,twenty,days,adj-pos,num-num,noun-temporal,The family spent a lovely twenty days in London., good,0.9990599029383852
161,temporal,0,lovely,twenty,weeks,adj-pos,num-num,noun-temporal,The family spent a lovely twenty weeks in London., good,0.9948240123274107
162,temporal,0,lovely,twenty,months,adj-pos,num-num,noun-temporal,The family spent a lovely twenty months in London., good,0.9984749407864868
163,temporal,0,lovely,twenty,years,adj-pos,num-num,noun-temporal,The family spent a lovely twenty years in London., good,0.9985740641140587
164,temporal,0,lovely,twenty,hours,adj-pos,num-num,noun-temporal,The family spent a lovely twenty hours in London., good,0.9942668847895154
165,temporal,0,beautiful,three,days,adj-pos,num-num,noun-temporal,The family spent a beautiful three days in London., good,0.9993831401762989
166,temporal,0,beautiful,three,weeks,adj-pos,num-num,noun-temporal,The family spent a beautiful three weeks in London., good,0.9992076620656095
167,temporal,0,beautiful,three,months,adj-pos,num-num,noun-temporal,The family spent a beautiful three months in London., good,0.9992003333039681
168,temporal,0,beautiful,three,years,adj-pos,num-num,noun-temporal,The family spent a beautiful three years in London., good,0.9990439291272716
169,temporal,0,beautiful,three,hours,adj-pos,num-num,noun-temporal,The family spent a beautiful three hours in London., good,0.9989176255902045
170,temporal,0,beautiful,five,days,adj-pos,num-num,noun-temporal,The family spent a beautiful five days in London., good,0.9996141680223088
171,temporal,0,beautiful,five,weeks,adj-pos,num-num,noun-temporal,The family spent a beautiful five weeks in London., good,0.9995412712782082
172,temporal,0,beautiful,five,months,adj-pos,num-num,noun-temporal,The family spent a beautiful five months in London., good,0.9994901902571713
173,temporal,0,beautiful,five,years,adj-pos,num-num,noun-temporal,The family spent a beautiful five years in London., good,0.9992724519914925
174,temporal,0,beautiful,five,hours,adj-pos,num-num,noun-temporal,The family spent a beautiful five hours in London., good,0.9992442026588034
175,temporal,0,beautiful,twenty,days,adj-pos,num-num,noun-temporal,The family spent a beautiful twenty days in London., good,0.9990646714926539
176,temporal,0,beautiful,twenty,weeks,adj-pos,num-num,noun-temporal,The family spent a beautiful twenty weeks in London., good,0.9948780740253601
177,temporal,0,beautiful,twenty,months,adj-pos,num-num,noun-temporal,The family spent a beautiful twenty months in London., good,0.9983718839213245
178,temporal,0,beautiful,twenty,years,adj-pos,num-num,noun-temporal,The family spent a beautiful twenty years in London., good,0.9980676008919477
179,temporal,0,beautiful,twenty,hours,adj-pos,num-num,noun-temporal,The family spent a beautiful twenty hours in London., good,0.9904701535582039
180,temporal,0,enchanting,three,days,adj-pos,num-num,noun-temporal,The family spent an enchanting three days in London., good,0.9987426266571178
181,temporal,0,enchanting,three,weeks,adj-pos,num-num,noun-temporal,The family spent an enchanting three weeks in London., good,0.9988299483448486
182,temporal,0,enchanting,three,months,adj-pos,num-num,noun-temporal,The family spent an enchanting three months in London., good,0.9987644427302013
183,temporal,0,enchanting,three,years,adj-pos,num-num,noun-temporal,The family spent an enchanting three years in London., good,0.9990874990324484
184,temporal,0,enchanting,three,hours,adj-pos,num-num,noun-temporal,The family spent an enchanting three hours in London., good,0.9979791496731384
185,temporal,0,enchanting,five,days,adj-pos,num-num,noun-temporal,The family spent an enchanting five days in London., good,0.999025509954119
186,temporal,0,enchanting,five,weeks,adj-pos,num-num,noun-temporal,The family spent an enchanting five weeks in London., good,0.998905704478503
187,temporal,0,enchanting,five,months,adj-pos,num-num,noun-temporal,The family spent an enchanting five months in London., good,0.9991171234650322
188,temporal,0,enchanting,five,years,adj-pos,num-num,noun-temporal,The family spent an enchanting five years in London., good,0.9992211342734969
189,temporal,0,enchanting,five,hours,adj-pos,num-num,noun-temporal,The family spent an enchanting five hours in London., good,0.9985884304028884
190,temporal,0,enchanting,twenty,days,adj-pos,num-num,noun-temporal,The family spent an enchanting twenty days in London., good,0.9991444847320399
191,temporal,0,enchanting,twenty,weeks,adj-pos,num-num,noun-temporal,The family spent an enchanting twenty weeks in London., good,0.9984107480005586
192,temporal,0,enchanting,twenty,months,adj-pos,num-num,noun-temporal,The family spent an enchanting twenty months in London., good,0.9992672106213734
193,temporal,0,enchanting,twenty,years,adj-pos,num-num,noun-temporal,The family spent an enchanting twenty years in London., good,0.9989471341525971
194,temporal,0,enchanting,twenty,hours,adj-pos,num-num,noun-temporal,The family spent an enchanting twenty hours in London., good,0.9972067850045252
195,temporal,0,soothing,three,days,adj-pos,num-num,noun-temporal,The family spent a soothing three days in London., good,0.9994742151233384
196,temporal,0,soothing,three,weeks,adj-pos,num-num,noun-temporal,The family spent a soothing three weeks in London., good,0.9992812145001516
197,temporal,0,soothing,three,months,adj-pos,num-num,noun-temporal,The family spent a soothing three months in London., good,0.9993388538534934
198,temporal,0,soothing,three,years,adj-pos,num-num,noun-temporal,The family spent a soothing three years in London., good,0.9986908308106571
199,temporal,0,soothing,three,hours,adj-pos,num-num,noun-temporal,The family spent a soothing three hours in London., good,0.9988561129381505
200,temporal,0,soothing,five,days,adj-pos,num-num,noun-temporal,The family spent a soothing five days in London., good,0.9995596286519381
201,temporal,0,soothing,five,weeks,adj-pos,num-num,noun-temporal,The family spent a soothing five weeks in London., good,0.9992774597580063
202,temporal,0,soothing,five,months,adj-pos,num-num,noun-temporal,The family spent a soothing five months in London., good,0.9993050571846898
203,temporal,0,soothing,five,years,adj-pos,num-num,noun-temporal,The family spent a soothing five years in London., good,0.9987571706528917
204,temporal,0,soothing,five,hours,adj-pos,num-num,noun-temporal,The family spent a soothing five hours in London., good,0.9989368800128944
205,temporal,0,soothing,twenty,days,adj-pos,num-num,noun-temporal,The family spent a soothing twenty days in London., good,0.9993764639394569
206,temporal,0,soothing,twenty,weeks,adj-pos,num-num,noun-temporal,The family spent a soothing twenty weeks in London., good,0.9984097940195447
207,temporal,0,soothing,twenty,months,adj-pos,num-num,noun-temporal,The family spent a soothing twenty months in London., good,0.9989850418188366
208,temporal,0,soothing,twenty,years,adj-pos,num-num,noun-temporal,The family spent a soothing twenty years in London., good,0.9983749829722992
209,temporal,0,soothing,twenty,hours,adj-pos,num-num,noun-temporal,The family spent a soothing twenty hours in London., good,0.9983123990026879
210,temporal,0,charming,three,days,adj-pos,num-num,noun-temporal,The family spent a charming three days in London., good,0.9995373363618447
211,temporal,0,charming,three,weeks,adj-pos,num-num,noun-temporal,The family spent a charming three weeks in London., good,0.9993132844471276
212,temporal,0,charming,three,months,adj-pos,num-num,noun-temporal,The family spent a charming three months in London., good,0.999444831563057
213,temporal,0,charming,three,years,adj-pos,num-num,noun-temporal,The family spent a charming three years in London., good,0.9993522049098966
214,temporal,0,charming,three,hours,adj-pos,num-num,noun-temporal,The family spent a charming three hours in London., good,0.9989331837534894
215,temporal,0,charming,five,days,adj-pos,num-num,noun-temporal,The family spent a charming five days in London., good,0.9995905628222874
216,temporal,0,charming,five,weeks,adj-pos,num-num,noun-temporal,The family spent a charming five weeks in London., good,0.9994721887413951
217,temporal,0,charming,five,months,adj-pos,num-num,noun-temporal,The family spent a charming five months in London., good,0.9995249388572951
218,temporal,0,charming,five,years,adj-pos,num-num,noun-temporal,The family spent a charming five years in London., good,0.9995136710962568
219,temporal,0,charming,five,hours,adj-pos,num-num,noun-temporal,The family spent a charming five hours in London., good,0.9993918408537852
220,temporal,0,charming,twenty,days,adj-pos,num-num,noun-temporal,The family spent a charming twenty days in London., good,0.9990879763466151
221,temporal,0,charming,twenty,weeks,adj-pos,num-num,noun-temporal,The family spent a charming twenty weeks in London., good,0.9987028121764244
222,temporal,0,charming,twenty,months,adj-pos,num-num,noun-temporal,The family spent a charming twenty months in London., good,0.9990669962189427
223,temporal,0,charming,twenty,years,adj-pos,num-num,noun-temporal,The family spent a charming twenty years in London., good,0.9990129950101689
224,temporal,0,charming,twenty,hours,adj-pos,num-num,noun-temporal,The family spent a charming twenty hours in London., good,0.9970618282003731
225,temporal,0,disgusting,three,days,adj-neg,num-num,noun-temporal,The family spent a disgusting three days in London., good,0.9745635570471516
