,experiment,template,adj,num,noun,adjclass,numclass,nounclass,sent,singplur,rating-sent,goodness-sent
66,objects,0,astonishing,five,cans,adj-ambig,num-num,noun-objects,An astonishing five cans is available.,singular, good,0.7237560651191202
67,objects,0,astonishing,five,bananas,adj-ambig,num-num,noun-objects,An astonishing five bananas is available.,singular, good,0.7791743933014132
68,objects,0,astonishing,five,apples,adj-ambig,num-num,noun-objects,An astonishing five apples is available.,singular, good,0.6659604463967908
69,objects,0,astonishing,five,trays,adj-ambig,num-num,noun-objects,An astonishing five trays is available.,singular, good,0.5033524794109114
70,objects,0,lovely,five,desks,adj-pos,num-num,noun-objects,A lovely five desks is available.,singular, bad,0.2921225262923933
71,objects,0,lovely,five,marbles,adj-pos,num-num,noun-objects,A lovely five marbles is available.,singular, bad,0.22449004533463024
72,objects,0,lovely,five,pencils,adj-pos,num-num,noun-objects,A lovely five pencils is available.,singular, bad,0.40730288040336904
73,objects,0,lovely,five,belts,adj-pos,num-num,noun-objects,A lovely five belts is available.,singular, bad,0.25745247231226065
74,objects,0,lovely,five,forks,adj-pos,num-num,noun-objects,A lovely five forks is available.,singular, good,0.676845895831172
75,objects,0,lovely,five,chairs,adj-pos,num-num,noun-objects,A lovely five chairs is available.,singular, bad,0.12436667111094912
76,objects,0,lovely,five,cans,adj-pos,num-num,noun-objects,A lovely five cans is available.,singular, bad,0.04131009611318859
77,objects,0,lovely,five,bananas,adj-pos,num-num,noun-objects,A lovely five bananas is available.,singular, bad,0.42239417117591604
78,objects,0,lovely,five,apples,adj-pos,num-num,noun-objects,A lovely five apples is available.,singular, bad,0.1839017036013082
79,objects,0,lovely,five,trays,adj-pos,num-num,noun-objects,A lovely five trays is available.,singular, bad,0.3878610440277306
80,objects,0,mere,five,desks,adj-quant,num-num,noun-objects,A mere five desks is available.,singular, bad,0.013469488543711106
81,objects,0,mere,five,marbles,adj-quant,num-num,noun-objects,A mere five marbles is available.,singular, bad,0.04481265980850824
82,objects,0,mere,five,pencils,adj-quant,num-num,noun-objects,A mere five pencils is available.,singular, bad,0.021381940624571882
83,objects,0,mere,five,belts,adj-quant,num-num,noun-objects,A mere five belts is available.,singular, bad,0.048794165696493974
84,objects,0,mere,five,forks,adj-quant,num-num,noun-objects,A mere five forks is available.,singular, bad,0.024916279021060417
85,objects,0,mere,five,chairs,adj-quant,num-num,noun-objects,A mere five chairs is available.,singular, bad,0.012151446584033887
86,objects,0,mere,five,cans,adj-quant,num-num,noun-objects,A mere five cans is available.,singular, bad,0.09002567485896662
87,objects,0,mere,five,bananas,adj-quant,num-num,noun-objects,A mere five bananas is available.,singular, bad,0.07795470063486976
88,objects,0,mere,five,apples,adj-quant,num-num,noun-objects,A mere five apples is available.,singular, bad,0.02592013521308212
89,objects,0,mere,five,trays,adj-quant,num-num,noun-objects,A mere five trays is available.,singular, bad,0.05691689319129911
90,objects,0,large,five,desks,adj-stubborn,num-num,noun-objects,A large five desks is available.,singular, bad,0.007558683975379621
91,objects,0,large,five,marbles,adj-stubborn,num-num,noun-objects,A large five marbles is available.,singular, bad,0.026765682345728514
92,objects,0,large,five,pencils,adj-stubborn,num-num,noun-objects,A large five pencils is available.,singular, bad,0.07510924948841347
93,objects,0,large,five,belts,adj-stubborn,num-num,noun-objects,A large five belts is available.,singular, bad,0.04304465877053032
94,objects,0,large,five,forks,adj-stubborn,num-num,noun-objects,A large five forks is available.,singular, bad,0.10018901105785494
95,objects,0,large,five,chairs,adj-stubborn,num-num,noun-objects,A large five chairs is available.,singular, bad,0.00720010464931542
96,objects,0,large,five,cans,adj-stubborn,num-num,noun-objects,A large five cans is available.,singular, bad,0.022258779816776486
97,objects,0,large,five,bananas,adj-stubborn,num-num,noun-objects,A large five bananas is available.,singular, bad,0.07833918249364336
98,objects,0,large,five,apples,adj-stubborn,num-num,noun-objects,A large five apples is available.,singular, bad,0.024671485708315344
99,objects,0,large,five,trays,adj-stubborn,num-num,noun-objects,A large five trays is available.,singular, bad,0.016784638628356552
100,objects,1,astonishing,five,desks,adj-ambig,num-num,noun-objects,An astonishing five desks are available.,plural, good,0.9985757325329988
101,objects,1,astonishing,five,marbles,adj-ambig,num-num,noun-objects,An astonishing five marbles are available.,plural, good,0.9980109172522439
102,objects,1,astonishing,five,pencils,adj-ambig,num-num,noun-objects,An astonishing five pencils are available.,plural, good,0.9985983229681744
103,objects,1,astonishing,five,belts,adj-ambig,num-num,noun-objects,An astonishing five belts are available.,plural, good,0.9951560125322588
104,objects,1,astonishing,five,forks,adj-ambig,num-num,noun-objects,An astonishing five forks are available.,plural, good,0.9940833640387702
105,objects,1,astonishing,five,chairs,adj-ambig,num-num,noun-objects,An astonishing five chairs are available.,plural, good,0.9986632326704898
106,objects,1,astonishing,five,cans,adj-ambig,num-num,noun-objects,An astonishing five cans are available.,plural, good,0.9983225906263288
107,objects,1,astonishing,five,bananas,adj-ambig,num-num,noun-objects,An astonishing five bananas are available.,plural, good,0.9993713383905676
108,objects,1,astonishing,five,apples,adj-ambig,num-num,noun-objects,An astonishing five apples are available.,plural, good,0.9990890492078237
109,objects,1,astonishing,five,trays,adj-ambig,num-num,noun-objects,An astonishing five trays are available.,plural, good,0.9985881913408468
110,objects,1,lovely,five,desks,adj-pos,num-num,noun-objects,A lovely five desks are available.,plural, bad,0.06267907245397886
111,objects,1,lovely,five,marbles,adj-pos,num-num,noun-objects,A lovely five marbles are available.,plural, bad,0.3081087300088309
112,objects,1,lovely,five,pencils,adj-pos,num-num,noun-objects,A lovely five pencils are available.,plural, bad,0.4907641295180226
113,objects,1,lovely,five,belts,adj-pos,num-num,noun-objects,A lovely five belts are available.,plural, bad,0.012078192922181819
114,objects,1,lovely,five,forks,adj-pos,num-num,noun-objects,A lovely five forks are available.,plural, bad,0.014882890515912517
115,objects,1,lovely,five,chairs,adj-pos,num-num,noun-objects,A lovely five chairs are available.,plural, bad,0.030807908601191425
116,objects,1,lovely,five,cans,adj-pos,num-num,noun-objects,A lovely five cans are available.,plural, bad,0.08686669830716898
117,objects,1,lovely,five,bananas,adj-pos,num-num,noun-objects,A lovely five bananas are available.,plural, bad,0.40317867589979095
118,objects,1,lovely,five,apples,adj-pos,num-num,noun-objects,A lovely five apples are available.,plural, bad,0.22378997139447665
119,objects,1,lovely,five,trays,adj-pos,num-num,noun-objects,A lovely five trays are available.,plural, bad,0.1525708736922824
120,objects,1,mere,five,desks,adj-quant,num-num,noun-objects,A mere five desks are available.,plural, good,0.9843855889474644
121,objects,1,mere,five,marbles,adj-quant,num-num,noun-objects,A mere five marbles are available.,plural, good,0.9859043068160922
122,objects,1,mere,five,pencils,adj-quant,num-num,noun-objects,A mere five pencils are available.,plural, good,0.984182324468287
123,objects,1,mere,five,belts,adj-quant,num-num,noun-objects,A mere five belts are available.,plural, good,0.7963448964356433
124,objects,1,mere,five,forks,adj-quant,num-num,noun-objects,A mere five forks are available.,plural, good,0.9383136257970331
125,objects,1,mere,five,chairs,adj-quant,num-num,noun-objects,A mere five chairs are available.,plural, good,0.981205255907841
126,objects,1,mere,five,cans,adj-quant,num-num,noun-objects,A mere five cans are available.,plural, good,0.9840492257622528
127,objects,1,mere,five,bananas,adj-quant,num-num,noun-objects,A mere five bananas are available.,plural, good,0.988102887016241
128,objects,1,mere,five,apples,adj-quant,num-num,noun-objects,A mere five apples are available.,plural, good,0.9764991364476483
129,objects,1,mere,five,trays,adj-quant,num-num,noun-objects,A mere five trays are available.,plural, good,0.9774174507981652
130,objects,1,large,five,desks,adj-stubborn,num-num,noun-objects,A large five desks are available.,plural, bad,0.00513527545753667
131,objects,1,large,five,marbles,adj-stubborn,num-num,noun-objects,A large five marbles are available.,plural, bad,0.02713004560601373
132,objects,1,large,five,pencils,adj-stubborn,num-num,noun-objects,A large five pencils are available.,plural, bad,0.03303016071524323
133,objects,1,large,five,belts,adj-stubborn,num-num,noun-objects,A large five belts are available.,plural, bad,0.01018764576948572
134,objects,1,large,five,forks,adj-stubborn,num-num,noun-objects,A large five forks are available.,plural, bad,0.00872030068105123
135,objects,1,large,five,chairs,adj-stubborn,num-num,noun-objects,A large five chairs are available.,plural, bad,0.0030380721903170427
136,objects,1,large,five,cans,adj-stubborn,num-num,noun-objects,A large five cans are available.,plural, bad,0.023308584638885854
137,objects,1,large,five,bananas,adj-stubborn,num-num,noun-objects,A large five bananas are available.,plural, bad,0.0822318498411101
138,objects,1,large,five,apples,adj-stubborn,num-num,noun-objects,A large five apples are available.,plural, bad,0.02697757326290995
139,objects,1,large,five,trays,adj-stubborn,num-num,noun-objects,A large five trays are available.,plural, bad,0.010560651582447456
140,objects,2,astonishing,five,desks,adj-ambig,num-num,noun-objects,An astonishing five desks makes a lovely gift.,singular, good,0.9034130503953207
141,objects,2,astonishing,five,marbles,adj-ambig,num-num,noun-objects,An astonishing five marbles makes a lovely gift.,singular, good,0.9987408998326092
142,objects,2,astonishing,five,pencils,adj-ambig,num-num,noun-objects,An astonishing five pencils makes a lovely gift.,singular, good,0.9919695636226176
143,objects,2,astonishing,five,belts,adj-ambig,num-num,noun-objects,An astonishing five belts makes a lovely gift.,singular, good,0.9959151425202094
144,objects,2,astonishing,five,forks,adj-ambig,num-num,noun-objects,An astonishing five forks makes a lovely gift.,singular, good,0.9984221899531346
145,objects,2,astonishing,five,chairs,adj-ambig,num-num,noun-objects,An astonishing five chairs makes a lovely gift.,singular, good,0.9691499518427952
146,objects,2,astonishing,five,cans,adj-ambig,num-num,noun-objects,An astonishing five cans makes a lovely gift.,singular, good,0.9986720546008534
147,objects,2,astonishing,five,bananas,adj-ambig,num-num,noun-objects,An astonishing five bananas makes a lovely gift.,singular, good,0.9995732181972736
148,objects,2,astonishing,five,apples,adj-ambig,num-num,noun-objects,An astonishing five apples makes a lovely gift.,singular, good,0.9993307464801068
149,objects,2,astonishing,five,trays,adj-ambig,num-num,noun-objects,An astonishing five trays makes a lovely gift.,singular, good,0.9921607747587681
150,objects,2,lovely,five,desks,adj-pos,num-num,noun-objects,A lovely five desks makes a lovely gift.,singular, good,0.7478205396852514
151,objects,2,lovely,five,marbles,adj-pos,num-num,noun-objects,A lovely five marbles makes a lovely gift.,singular, good,0.9902648137359825
152,objects,2,lovely,five,pencils,adj-pos,num-num,noun-objects,A lovely five pencils makes a lovely gift.,singular, good,0.9180165226446814
153,objects,2,lovely,five,belts,adj-pos,num-num,noun-objects,A lovely five belts makes a lovely gift.,singular, good,0.7224842778453503
154,objects,2,lovely,five,forks,adj-pos,num-num,noun-objects,A lovely five forks makes a lovely gift.,singular, good,0.985026334139915
155,objects,2,lovely,five,chairs,adj-pos,num-num,noun-objects,A lovely five chairs makes a lovely gift.,singular, good,0.9532852044055848
156,objects,2,lovely,five,cans,adj-pos,num-num,noun-objects,A lovely five cans makes a lovely gift.,singular, good,0.5324444532420619
157,objects,2,lovely,five,bananas,adj-pos,num-num,noun-objects,A lovely five bananas makes a lovely gift.,singular, good,0.9934759893724745
158,objects,2,lovely,five,apples,adj-pos,num-num,noun-objects,A lovely five apples makes a lovely gift.,singular, good,0.9934343258500807
159,objects,2,lovely,five,trays,adj-pos,num-num,noun-objects,A lovely five trays makes a lovely gift.,singular, good,0.8602825991931448
160,objects,2,mere,five,desks,adj-quant,num-num,noun-objects,A mere five desks makes a lovely gift.,singular, good,0.9574557855163018
161,objects,2,mere,five,marbles,adj-quant,num-num,noun-objects,A mere five marbles makes a lovely gift.,singular, good,0.9993180522921061
162,objects,2,mere,five,pencils,adj-quant,num-num,noun-objects,A mere five pencils makes a lovely gift.,singular, good,0.9875641759645281
163,objects,2,mere,five,belts,adj-quant,num-num,noun-objects,A mere five belts makes a lovely gift.,singular, good,0.996212215820948
164,objects,2,mere,five,forks,adj-quant,num-num,noun-objects,A mere five forks makes a lovely gift.,singular, good,0.9980375625033986
165,objects,2,mere,five,chairs,adj-quant,num-num,noun-objects,A mere five chairs makes a lovely gift.,singular, good,0.990036886952145
166,objects,2,mere,five,cans,adj-quant,num-num,noun-objects,A mere five cans makes a lovely gift.,singular, good,0.9990371332539623
167,objects,2,mere,five,bananas,adj-quant,num-num,noun-objects,A mere five bananas makes a lovely gift.,singular, good,0.9995184399372851
168,objects,2,mere,five,apples,adj-quant,num-num,noun-objects,A mere five apples makes a lovely gift.,singular, good,0.9994625933547074
169,objects,2,mere,five,trays,adj-quant,num-num,noun-objects,A mere five trays makes a lovely gift.,singular, good,0.9911833208880658
170,objects,2,large,five,desks,adj-stubborn,num-num,noun-objects,A large five desks makes a lovely gift.,singular, bad,0.31771167053200244
171,objects,2,large,five,marbles,adj-stubborn,num-num,noun-objects,A large five marbles makes a lovely gift.,singular, good,0.9735921229349322
172,objects,2,large,five,pencils,adj-stubborn,num-num,noun-objects,A large five pencils makes a lovely gift.,singular, good,0.9366889926847727
173,objects,2,large,five,belts,adj-stubborn,num-num,noun-objects,A large five belts makes a lovely gift.,singular, good,0.6834266253049145
174,objects,2,large,five,forks,adj-stubborn,num-num,noun-objects,A large five forks makes a lovely gift.,singular, good,0.9591640040756911
175,objects,2,large,five,chairs,adj-stubborn,num-num,noun-objects,A large five chairs makes a lovely gift.,singular, good,0.5353582660701017
176,objects,2,large,five,cans,adj-stubborn,num-num,noun-objects,A large five cans makes a lovely gift.,singular, good,0.8016591110824308
177,objects,2,large,five,bananas,adj-stubborn,num-num,noun-objects,A large five bananas makes a lovely gift.,singular, good,0.9936143315939419
178,objects,2,large,five,apples,adj-stubborn,num-num,noun-objects,A large five apples makes a lovely gift.,singular, good,0.9770344388207115
179,objects,2,large,five,trays,adj-stubborn,num-num,noun-objects,A large five trays makes a lovely gift.,singular, good,0.6226985535341731
180,objects,3,astonishing,five,desks,adj-ambig,num-num,noun-objects,An astonishing five desks make a lovely gift.,plural, good,0.9992530230862641
181,objects,3,astonishing,five,marbles,adj-ambig,num-num,noun-objects,An astonishing five marbles make a lovely gift.,plural, good,0.9995197524757766
182,objects,3,astonishing,five,pencils,adj-ambig,num-num,noun-objects,An astonishing five pencils make a lovely gift.,plural, good,0.9995483032657002
183,objects,3,astonishing,five,belts,adj-ambig,num-num,noun-objects,An astonishing five belts make a lovely gift.,plural, good,0.9991087796729511
184,objects,3,astonishing,five,forks,adj-ambig,num-num,noun-objects,An astonishing five forks make a lovely gift.,plural, good,0.9991367344283056
185,objects,3,astonishing,five,chairs,adj-ambig,num-num,noun-objects,An astonishing five chairs make a lovely gift.,plural, good,0.9993233576857289
186,objects,3,astonishing,five,cans,adj-ambig,num-num,noun-objects,An astonishing five cans make a lovely gift.,plural, good,0.9996508839352007
187,objects,3,astonishing,five,bananas,adj-ambig,num-num,noun-objects,An astonishing five bananas make a lovely gift.,plural, good,0.9996899255230305
188,objects,3,astonishing,five,apples,adj-ambig,num-num,noun-objects,An astonishing five apples make a lovely gift.,plural, good,0.9996951681306784
189,objects,3,astonishing,five,trays,adj-ambig,num-num,noun-objects,An astonishing five trays make a lovely gift.,plural, good,0.9993193627387
190,objects,3,lovely,five,desks,adj-pos,num-num,noun-objects,A lovely five desks make a lovely gift.,plural, good,0.7898439536953517
191,objects,3,lovely,five,marbles,adj-pos,num-num,noun-objects,A lovely five marbles make a lovely gift.,plural, good,0.993892390937634
192,objects,3,lovely,five,pencils,adj-pos,num-num,noun-objects,A lovely five pencils make a lovely gift.,plural, good,0.9704177190372373
193,objects,3,lovely,five,belts,adj-pos,num-num,noun-objects,A lovely five belts make a lovely gift.,plural, good,0.7406956254112336
194,objects,3,lovely,five,forks,adj-pos,num-num,noun-objects,A lovely five forks make a lovely gift.,plural, good,0.9102511814384491
195,objects,3,lovely,five,chairs,adj-pos,num-num,noun-objects,A lovely five chairs make a lovely gift.,plural, good,0.933630060545883
196,objects,3,lovely,five,cans,adj-pos,num-num,noun-objects,A lovely five cans make a lovely gift.,plural, good,0.6423699147674796
197,objects,3,lovely,five,bananas,adj-pos,num-num,noun-objects,A lovely five bananas make a lovely gift.,plural, good,0.9922038528343705
198,objects,3,lovely,five,apples,adj-pos,num-num,noun-objects,A lovely five apples make a lovely gift.,plural, good,0.9885337097804652
199,objects,3,lovely,five,trays,adj-pos,num-num,noun-objects,A lovely five trays make a lovely gift.,plural, good,0.876729089728408
200,objects,3,mere,five,desks,adj-quant,num-num,noun-objects,A mere five desks make a lovely gift.,plural, good,0.997258701439742
201,objects,3,mere,five,marbles,adj-quant,num-num,noun-objects,A mere five marbles make a lovely gift.,plural, good,0.9995566479095963
202,objects,3,mere,five,pencils,adj-quant,num-num,noun-objects,A mere five pencils make a lovely gift.,plural, good,0.999538766251004
203,objects,3,mere,five,belts,adj-quant,num-num,noun-objects,A mere five belts make a lovely gift.,plural, good,0.9981762610366061
204,objects,3,mere,five,forks,adj-quant,num-num,noun-objects,A mere five forks make a lovely gift.,plural, good,0.9992082585927619
205,objects,3,mere,five,chairs,adj-quant,num-num,noun-objects,A mere five chairs make a lovely gift.,plural, good,0.9986500623866225
206,objects,3,mere,five,cans,adj-quant,num-num,noun-objects,A mere five cans make a lovely gift.,plural, good,0.9995591529816152
207,objects,3,mere,five,bananas,adj-quant,num-num,noun-objects,A mere five bananas make a lovely gift.,plural, good,0.9997101877336905
208,objects,3,mere,five,apples,adj-quant,num-num,noun-objects,A mere five apples make a lovely gift.,plural, good,0.999713766702569
209,objects,3,mere,five,trays,adj-quant,num-num,noun-objects,A mere five trays make a lovely gift.,plural, good,0.9988024690131987
210,objects,3,large,five,desks,adj-stubborn,num-num,noun-objects,A large five desks make a lovely gift.,plural, bad,0.021332887143595713
211,objects,3,large,five,marbles,adj-stubborn,num-num,noun-objects,A large five marbles make a lovely gift.,plural, good,0.9444482825233057
212,objects,3,large,five,pencils,adj-stubborn,num-num,noun-objects,A large five pencils make a lovely gift.,plural, good,0.9683676084509543
213,objects,3,large,five,belts,adj-stubborn,num-num,noun-objects,A large five belts make a lovely gift.,plural, bad,0.3518410114349001
214,objects,3,large,five,forks,adj-stubborn,num-num,noun-objects,A large five forks make a lovely gift.,plural, good,0.6392546632248388
215,objects,3,large,five,chairs,adj-stubborn,num-num,noun-objects,A large five chairs make a lovely gift.,plural, bad,0.31499838290495175
216,objects,3,large,five,cans,adj-stubborn,num-num,noun-objects,A large five cans make a lovely gift.,plural, good,0.7515564320952252
217,objects,3,large,five,bananas,adj-stubborn,num-num,noun-objects,A large five bananas make a lovely gift.,plural, good,0.9707987662398877
218,objects,3,large,five,apples,adj-stubborn,num-num,noun-objects,A large five apples make a lovely gift.,plural, good,0.87115372078823
219,objects,3,large,five,trays,adj-stubborn,num-num,noun-objects,A large five trays make a lovely gift.,plural, good,0.5309700459349415
220,human,0,astonishing,five,soldiers,adj-ambig,num-num,noun-human,An astonishing five soldiers regularly shows up at the door.,singular, bad,0.36010727252665453
221,human,0,astonishing,five,students,adj-ambig,num-num,noun-human,An astonishing five students regularly shows up at the door.,singular, bad,0.2964518420688729
222,human,0,astonishing,five,athletes,adj-ambig,num-num,noun-human,An astonishing five athletes regularly shows up at the door.,singular, bad,0.3402692092661016
223,human,0,astonishing,five,pianists,adj-ambig,num-num,noun-human,An astonishing five pianists regularly shows up at the door.,singular, bad,0.191447631787392
224,human,0,astonishing,five,teammates,adj-ambig,num-num,noun-human,An astonishing five teammates regularly shows up at the door.,singular, bad,0.32030077850785277
225,human,0,astonishing,five,lawyers,adj-ambig,num-num,noun-human,An astonishing five lawyers regularly shows up at the door.,singular, bad,0.14389093622125182
226,human,0,astonishing,five,doctors,adj-ambig,num-num,noun-human,An astonishing five doctors regularly shows up at the door.,singular, bad,0.16439185344543716
